,Team,Year,W,L,Pct,Attend,Payroll,OPS,ERA
140,St. Louis Cardinals,2015,100,62,0.6172839506172839,3520889,120301957,0.716,2.94
141,Pittsburgh Pirates,2015,98,64,0.6049382716049383,2498596,85885832,0.7190000000000001,3.21
142,Chicago Cubs,2015,97,65,0.5987654320987654,2919122,117164522,0.7190000000000001,3.36
143,Milwaukee Brewers,2015,68,94,0.41975308641975306,2542558,98683035,0.7,4.28
144,Cincinnati Reds,2015,64,98,0.3950617283950617,2419506,117732284,0.706,4.33
145,Los Angeles Dodgers,2015,92,70,0.5679012345679012,3764815,230352402,0.7390000000000001,3.44
146,San Francisco Giants,2015,84,78,0.5185185185185185,3375882,166495942,0.732,3.72
147,Arizona Diamondbacks,2015,79,83,0.4876543209876543,2080145,65770333,0.738,4.04
148,San Diego Padres,2015,74,88,0.4567901234567901,2459752,126619628,0.685,4.09
149,Colorado Rockies,2015,68,94,0.41975308641975306,2506789,98261171,0.748,5.04
150,Baltimore Orioles,2014,96,66,0.5925925925925926,2464473,107406623,0.7340000000000001,3.43
151,New York Yankees,2014,84,78,0.5185185185185185,3401624,203812506,0.687,3.75
152,Toronto Blue Jays,2014,83,79,0.5123456790123457,2375525,132628700,0.736,4.0
153,Tampa Bay Rays,2014,77,85,0.4753086419753086,1446464,77062891,0.684,3.56
154,Boston Red Sox,2014,71,91,0.4382716049382716,2956089,162817411,0.684,4.01
155,Detroit Tigers,2014,90,72,0.5555555555555556,2917209,162228527,0.757,4.01
156,Kansas City Royals,2014,89,73,0.5493827160493827,1956482,92034345,0.69,3.51
157,Cleveland Indians,2014,85,77,0.5246913580246914,1437393,82534800,0.706,3.56
158,Chicago White Sox,2014,73,89,0.4506172839506173,1650821,91159254,0.708,4.29
159,Minnesota Twins,2014,70,92,0.4320987654320987,2250606,85776500,0.713,4.57
160,Los Angeles Angels,2014,98,64,0.6049382716049383,3095935,155692000,0.728,3.58
161,Oakland Athletics,2014,88,74,0.5432098765432098,2003628,83401400,0.7,3.22
162,Seattle Mariners,2014,87,75,0.5370370370370371,2064334,92081943,0.6759999999999999,3.17
163,Houston Astros,2014,70,92,0.4320987654320987,1751829,44544174,0.6920000000000001,4.11
164,Texas Rangers,2014,67,95,0.41358024691358025,2718733,136036172,0.6890000000000001,4.49
165,Washington Nationals,2014,96,66,0.5925925925925926,2579389,134704437,0.7140000000000001,3.03
166,Atlanta Braves,2014,79,83,0.4876543209876543,2354305,110897341,0.665,3.38
167,New York Mets,2014,79,83,0.4876543209876543,2148808,89051758,0.6729999999999999,3.49
168,Miami Marlins,2014,77,85,0.4753086419753086,1732283,47565400,0.6940000000000001,3.78
169,Philadelphia Phillies,2014,73,89,0.4506172839506173,2423852,180052723,0.665,3.79
170,St. Louis Cardinals,2014,90,72,0.5555555555555556,3540649,111020360,0.6890000000000001,3.5
171,Pittsburgh Pirates,2014,88,74,0.5432098765432098,2442564,78111667,0.7340000000000001,3.47
172,Milwaukee Brewers,2014,82,80,0.5061728395061729,2797384,103844806,0.708,3.67
173,Cincinnati Reds,2014,76,86,0.4691358024691358,2476664,112390772,0.6609999999999999,3.59
